species,id,status
dichapetalum_glomeratum,143718334,Least Concern
dichapetalum_heudelotii,136102036,Least Concern
dichapetalum_insigne,143716968,Least Concern
dichapetalum_madagascariense,165430464,Least Concern
dichapetalum_zenkeri,143722473,Least Concern
dichostemma_glaucescens,143722580,Least Concern
dichrostachys_cinerea,164134,Least Concern
dicranolepis_buchholzii,,
dicranolepis_disticha,208173931,Least Concern
dicranolepis_persei,154162592,Least Concern
dicranolepis_pulcherrima,,
dicranolepis_soyauxii,,
didelotia_africana,62023390,Least Concern
didelotia_brevipaniculata,62023399,Least Concern
didelotia_idae,33187,Near Threatened
didelotia_letouzeyi,62023490,Near Threatened
didelotia_minutiflora,173500965,Vulnerable
didelotia_unifoliolata,32747,Least Concern
diogoa_retivenia,154163733,Near Threatened
diogoa_zenkeri,143720960,Least Concern
diospyros_abyssinica,158268,Least Concern
diospyros_barteri,33193,Vulnerable
diospyros_bipindensis,173972,Least Concern
diospyros_boala,,
diospyros_canaliculata,173489,Least Concern
diospyros_chevalieri,173670,Least Concern
diospyros_cinnabarina,173986,Least Concern
diospyros_conocarpa,173684,Least Concern
diospyros_crassiflora,33048,Vulnerable
diospyros_dendo,173762,Least Concern
diospyros_elliotii,173700,Least Concern
diospyros_ferrea,,
diospyros_fragrans,173824,Least Concern
diospyros_gabunensis,173609,Least Concern
diospyros_gilletii,174000,Least Concern
diospyros_gracilescens,173730,Least Concern
diospyros_heudelotii,173471,Least Concern
diospyros_hoyleana,173524,Least Concern
diospyros_iturensis,173779,Least Concern
diospyros_kamerunensis,173860,Least Concern
diospyros_mannii,173651,Least Concern
diospyros_melocarpa,173601,Least Concern
diospyros_mespiliformis,173967,Least Concern
diospyros_monbuttensis,173455,Least Concern
diospyros_obliquifolia,173575,Least Concern
diospyros_physocalycina,173720,Least Concern
diospyros_piscatoria,173719,Least Concern
diospyros_polystemon,173579,Least Concern
diospyros_preussii,173781,Least Concern
diospyros_rabiensis,173822,Vulnerable
diospyros_rubicunda,,
diospyros_sanza-minika,173511,Least Concern
diospyros_soubreana,173708,Least Concern
diospyros_suaveolens,173450,Least Concern
diospyros_tricolor,,
diospyros_vermoesenii,,
diospyros_vignei,173728,Least Concern
diospyros_viridicans,,
diospyros_zenkeri,173643,Least Concern
discoclaoxylon_hexandrum,144288755,Least Concern
discoglypremna_caloneura,144273389,Least Concern
discopodium_penninervium,153945870,Least Concern
dissomeria_crenata,138013007,Least Concern
distemonanthus_benthamianus,62025002,Least Concern
dombeya_buettneri,,
dombeya_ledermannii,39747,Critically Endangered
donella_ogoouensis,,
donella_pruniformis,,
donella_ubangiensis,,
dovyalis_zenkeri,156098178,Least Concern
dracaena_acutissima,,
dracaena_arborea,147136700,Least Concern
dracaena_fragrans,144296082,Least Concern
dracaena_glomerata,,
dracaena_mannii,149352222,Least Concern
drypetes_aframensis,154164468,Least Concern
drypetes_afzelii,34674,Vulnerable
drypetes_angustifolia,,
drypetes_aylmeri,,
drypetes_bakembei,,
drypetes_bipindensis,,
drypetes_calvescens,174410896,Least Concern
drypetes_capillipes,,
drypetes_chevalieri,,
drypetes_cinnabarina,,
drypetes_dinklagei,,
drypetes_floribunda,,
drypetes_gabonensis,,
drypetes_gilgiana,136110589,Least Concern
drypetes_gossweileri,,
drypetes_inaequalis,,
drypetes_ituriensis,,
drypetes_ivorensis,136112879,Least Concern
drypetes_klainei,,
drypetes_laciniata,32925,Near Threatened
drypetes_leonensis,147042412,Least Concern
drypetes_magnistipula,45451,Endangered
drypetes_molunduana,,
drypetes_occidentalis,,
drypetes_parvifolia,,
drypetes_paxii,,
drypetes_pellegrinii,33916,Vulnerable
drypetes_preussii,34775,Vulnerable
drypetes_principum,,
drypetes_singroboensis,32207,Vulnerable
drypetes_spinosodentata,174411090,Least Concern
drypetes_staudtii,45453,Vulnerable
duboscia_macrocarpa,143714412,Least Concern
duboscia_viridiflora,204816776,Least Concern
duguetia_barteri,35015,Least Concern
duguetia_confinis,61984644,Least Concern
duguetia_staudtii,61984653,Least Concern
duparquetia_orchidacea,144257627,Least Concern
ehretia_cymosa,165431777,Least Concern
ehretia_trachyphylla,154164548,Least Concern
elaeis_guineensis,13416970,Least Concern
empogona_coriacea,,
empogona_crepiniana,143710572,Least Concern
empogona_discolor,,
empogona_gossweileri,143723596,Least Concern
empogona_macrophylla,,
empogona_reflexa,,
empogona_talbotii,46171,Vulnerable
endodesmia_calophylloides,143716772,Least Concern
englerophytum_oblanceolatum,156098203,Least Concern
englerophytum_oubanguiense,,
englerophytum_stelechantha,,
engomegoma_gordonii,,
entada_abyssinica,146198441,Least Concern
entandrophragma_angolense,33049,Near Threatened
entandrophragma_candollei,33050,Vulnerable
entandrophragma_cylindricum,33051,Vulnerable
eremospatha_haullevilleana,95317318,Least Concern
erica_mannii,143716635,Least Concern
eriocoelum_kerstingii,156109052,Least Concern
eriocoelum_macrocarpum,143718509,Least Concern
eriocoelum_microspermum,,
eriocoelum_oblongum,32726,Least Concern
eriocoelum_paniculatum,,
eriocoelum_petiolare,143721941,Least Concern
eriocoelum_pungens,32727,Endangered
eriocoelum_pungens,62990,Near Threatened
eriocoelum_racemosum,,
erismadelphus_exsul,174470975,Least Concern
erythrina_droogmansiana,111320140,Data Deficient
erythrina_mildbraedii,,
erythrina_senegalensis,19892718,Least Concern
erythrina_sigmoidea,208166335,Least Concern
erythrina_vogelii,204798732,Least Concern
erythrococca_atrovirens,144296296,Least Concern
erythrophleum_ivorense,62025422,Least Concern
erythrophleum_suaveolens,62025437,Least Concern
erythroxylum_emarginatum,153946734,Least Concern
erythroxylum_mannii,62003293,Least Concern
euadenia_eminens,144038602,Least Concern
euadenia_trifoliolata,,
euclinia_longiflora,156106485,Least Concern
eugenia_coronata,154164988,Near Threatened
eugenia_fernandopoana,45899,Vulnerable
eugenia_gilgii,39740,Critically Endangered
eugenia_klaineana,204813497,Least Concern
eugenia_leonensis,154165338,Least Concern
eugenia_nigerina,,
eugenia_salacioides,154166683,Least Concern
euphorbia_drupifera,147041658,Least Concern
euphorbia_grandifolia,204803175,Least Concern
euphorbia_kamerunica,208179721,Least Concern
euphorbia_poissonii,,
eurypetalum_tessmannii,19892917,Least Concern
faurea_rochetiana,112642519,Least Concern
fegimanra_africana,204802406,Least Concern
feretia_apodanthera,,
ficus_exasperata,143276941,Least Concern
ficus_glumosa,146435264,Least Concern
ficus_lingua,179584,Least Concern
ficus_lingua,179993,Least Concern
ficus_lutea,146435575,Least Concern
ficus_lyrata,208115167,Least Concern
ficus_mucuso,143276968,Least Concern
ficus_natalensis,146188383,Least Concern
ficus_ottoniifolia,156098330,Least Concern
ficus_polita,153929084,Least Concern
ficus_populifolia,143276998,Least Concern
ficus_preussii,,
ficus_pseudomangifera,,
ficus_recurvata,,
ficus_sagittifolia,147036279,Least Concern
ficus_saussureana,143277205,Least Concern
ficus_scott-elliottii,154166807,Least Concern
ficus_sur,146435594,Least Concern
ficus_sycomorus,146188430,Least Concern
ficus_tesselata,174406350,Least Concern
ficus_thonningii,146188444,Least Concern
ficus_tremula,179735,Least Concern
ficus_tremula,180008,Least Concern
ficus_tremula,111320384,Vulnerable
ficus_trichopoda,136663128,Least Concern
ficus_umbellata,143277325,Least Concern
ficus_vallis-choudae,,
ficus_variifolia,,
ficus_verruculosa,136663140,Least Concern
ficus_vogeliana,143277337,Least Concern
fillaeopsis_discophora,62025563,Least Concern
flacourtia_flavescens,,
flacourtia_indica,146188176,Least Concern
flacourtia_vogelii,,
flueggea_virosa,146202817,Least Concern
funtumia_africana,61984889,Least Concern
funtumia_elastica,49840949,Least Concern
gabonius_ngouniensis,204672578,Least Concern
gaertnera_bieleri,,
gaertnera_cooperi,154166853,Least Concern
gaertnera_leucothyrsa,138002333,Least Concern
gaertnera_longivaginalis,143714299,Least Concern
gaertnera_paniculata,147041206,Least Concern
gaertnera_trachystyla,,
gambeya_africana,61961728,Least Concern
gambeya_albida,61961750,Near Threatened
gambeya_boukokoensis,,
gambeya_gigantea,61961855,Least Concern
gambeya_lacourtiana,61962690,Least Concern
gambeya_perpulchra,61962707,Least Concern
gambeya_subnuda,61963348,Least Concern
ganophyllum_giganteum,,
garcinia_afzelii,34294,Vulnerable
garcinia_chromocarpa,,
garcinia_densivenia,,
garcinia_epunctata,34714,Least Concern
garcinia_kola,34715,Vulnerable
garcinia_livingstonei,,
garcinia_lucida,170124274,Least Concern
garcinia_mannii,204803295,Least Concern
